,FTA/Game,Ref,Refd Games
0,36.0,Bennie Adams,3.0
1,42.8,Bill Kennedy,10.0
2,44.8571428571,Bill Spooner,7.0
3,42.75,Brian Forte,4.0
4,44.6666666667,Courtney Kirkland,3.0
5,46.625,Dan Crawford,16.0
6,43.0,David Guthrie,5.0
7,45.5,Derrick Collins,4.0
8,43.6666666667,Derrick Stafford,12.0
9,48.0,Ed Malloy,11.0
10,38.3333333333,Eric Lewis,3.0
11,54.2,James Capers,10.0
12,53.0,James Williams,5.0
13,40.1818181818,Jason Phillips,11.0
14,52.3333333333,John Goble,9.0
15,46.5,Josh Tiven,4.0
16,48.1,Kane Fitzgerald,10.0
17,46.25,Ken Mauer,12.0
18,39.0,Leroy Richardson,2.0
19,44.2142857143,Marc Davis,14.0
20,52.0,Mark Ayotte,1.0
21,48.0,Mark Lindsay,1.0
22,34.0,Michael Smith,1.0
23,48.0625,Mike Callahan,16.0
24,43.8125,Monty McCutchen,16.0
25,50.2,Pat Fraher,5.0
26,56.6,Rodney Mott,5.0
27,45.8333333333,Ron Garretson,6.0
28,50.3571428571,Scott Foster,14.0
29,48.2,Sean Corbin,5.0
30,59.2,Sean Wright,5.0
31,50.7142857143,Tom Washington,7.0
32,46.0,Tony Brothers,9.0
33,54.5,Tony Brown,2.0
34,51.6,Zach Zarba,10.0
